data_set_id,primary_injection_structure_id,primary_injection_structure_acronym,secondary_injection_structure_id,secondary_injection_acronym,mouse_line_name,grid_file_url,projection_structure_unionizes_file_url
294314037,518,SUBv,"{518,926,843,918}","{SUBv,ENTm,PAR,ENTl}",Tac1-IRES2-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294314037_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294314037_projection_structure_unionizes.csv
294316542,980,PMd,"{491,194,525,830,946,980,1004,1126}","{MM,LHA,SUM,DMH,PH,PMd,PMv,TMd}",Tac1-IRES2-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294316542_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294316542_projection_structure_unionizes.csv
294355509,515,MPN,"{272,515,351,38,523}","{AVPV,MPN,BST,PVH,MPO}",Tac1-IRES2-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294355509_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294355509_projection_structure_unionizes.csv
294356216,867,PB,"{984,217,867}","{CENT3,SUV,PB}",Tac1-IRES2-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294356216_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294356216_projection_structure_unionizes.csv
294356922,362,MD,"{186,907,599,362}","{LH,PCN,CM,MD}",Slc17a6-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294356922_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294356922_projection_structure_unionizes.csv
294396492,972,PL,"{972,731,44}","{PL,ORBm,ILA}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294396492_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294396492_projection_structure_unionizes.csv
294397199,345,SSp-m,"{677,353,378,345,583,1057}","{VISC,SSp-n,SSs,SSp-m,CLA,GU}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294397199_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294397199_projection_structure_unionizes.csv
294397907,382,CA1,"{518,402,382,385,509}","{SUBv,VISal,CA1,VISp,SUBd}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294397907_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294397907_projection_structure_unionizes.csv
294399325,44,ILA,"{814,731,44}","{DP,ORBm,ILA}",Oxtr-Cre_ON66,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294399325_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294399325_projection_structure_unionizes.csv
294434161,972,PL,"{44,48,972,39}","{ILA,ACAv,PL,ACAd}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294434161_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294434161_projection_structure_unionizes.csv
294434867,22,PTLp,"{22,394}","{PTLp,VISam}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294434867_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294434867_projection_structure_unionizes.csv
294435580,361,SSp-tr,"{329,361,182305689}","{SSp-bfd,SSp-tr,SSp-un}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294435580_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294435580_projection_structure_unionizes.csv
294481346,394,VISam,{394},{VISam},Rbp4-Cre_KL100,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294481346_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294481346_projection_structure_unionizes.csv
294482052,385,VISp,{385},{VISp},Rbp4-Cre_KL100,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294482052_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294482052_projection_structure_unionizes.csv
294484177,894,RSPagl,"{879,894}","{RSPd,RSPagl}",Cux2-IRES-Cre,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294484177_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294484177_projection_structure_unionizes.csv
294516943,541,TEa,{541},{TEa},Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294516943_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294516943_projection_structure_unionizes.csv
294525229,104,AId,"{985,104,182305689,1057}","{MOp,AId,SSp-un,GU}",Tlx3-Cre_PL56,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294525229_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/294525229_projection_structure_unionizes.csv
